ID1 ID2 nb_sup2 sum_sup2 Sex1 State1 Region1 Sex2 State2 Region2
HG00256 NA19795 8 23.282 1 GBR EUR 1 MXL AMR
HG00257 HG00246 6 18.611 2 GBR EUR 1 GBR EUR
HG00258 HG00232 5 14.719 2 GBR EUR 2 GBR EUR
HG00259 HG00240 7 29.045 2 GBR EUR 2 GBR EUR
HG00260 HG03863 5 14.537 1 GBR EUR 2 ITU SAS
HG00261 HG00157 7 18.914 2 GBR EUR 1 GBR EUR
HG00262 HG01679 5 13.954 2 GBR EUR 2 IBS EUR
HG00263 HG00264 5 14.102 2 GBR EUR 1 GBR EUR
HG00264 HG00236 10 29.075 1 GBR EUR 2 GBR EUR
HG00265 HG00157 5 14.49 1 GBR EUR 1 GBR EUR
HG00266 HG00372 9 25.834 2 FIN EUR 1 FIN EUR
HG00267 HG00368 12 34.269 1 FIN EUR 2 FIN EUR
HG00268 HG00281 9 24.538 2 FIN EUR 2 FIN EUR
HG00269 HG00290 11 34.929 2 FIN EUR 1 FIN EUR
HG00271 HG00290 15 46.414 1 FIN EUR 1 FIN EUR
HG00272 HG00323 14 40.921 2 FIN EUR 2 FIN EUR
HG00273 HG00186 11 30.583 1 FIN EUR 1 FIN EUR
HG00274 HG00358 11 31.768 2 FIN EUR 1 FIN EUR
HG00275 HG00282 12 30.489 2 FIN EUR 2 FIN EUR
HG00276 HG00290 8 23.492 2 FIN EUR 1 FIN EUR
HG00277 HG00182 11 28.458 1 FIN EUR 1 FIN EUR
HG00278 HG00187 8 27.042 1 FIN EUR 1 FIN EUR
HG00280 HG00186 13 37.133 1 FIN EUR 1 FIN EUR
HG00281 HG00323 13 40.879 2 FIN EUR 2 FIN EUR
HG00282 HG00358 11 32.204 2 FIN EUR 1 FIN EUR
HG00284 HG00375 13 32.239 1 FIN EUR 1 FIN EUR
HG00285 HG00183 9 29.505 2 FIN EUR 1 FIN EUR
HG00288 HG00324 11 29.32 2 FIN EUR 2 FIN EUR
HG00290 HG00271 15 46.414 1 FIN EUR 1 FIN EUR
HG00304 HG00171 12 35.407 2 FIN EUR 2 FIN EUR
HG00306 HG00277 7 24.375 2 FIN EUR 1 FIN EUR
HG00308 HG00358 12 31.893 1 FIN EUR 1 FIN EUR
HG00309 HG00325 13 36.578 2 FIN EUR 1 FIN EUR
HG00310 HG00346 8 26.149 1 FIN EUR 2 FIN EUR
HG00311 HG00321 10 29.026 1 FIN EUR 1 FIN EUR
HG00313 HG00290 15 42.822 2 FIN EUR 1 FIN EUR
HG00315 HG00321 10 26.101 2 FIN EUR 1 FIN EUR
HG00318 HG00381 11 32.125 2 FIN EUR 2 FIN EUR
HG00319 HG00343 13 35.913 2 FIN EUR 2 FIN EUR
HG00320 HG00379 10 26.073 2 FIN EUR 2 FIN EUR
HG00321 HG00342 15 46.418 1 FIN EUR 1 FIN EUR
HG00323 HG00325 15 46.78 2 FIN EUR 1 FIN EUR
HG00324 HG00271 15 38.246 2 FIN EUR 1 FIN EUR
HG00325 HG00323 15 46.78 1 FIN EUR 2 FIN EUR
HG00326 HG00182 10 31.025 2 FIN EUR 1 FIN EUR
HG00327 HG00304 11 32.486 2 FIN EUR 2 FIN EUR
HG00328 HG00290 11 32.397 2 FIN EUR 1 FIN EUR
HG00329 HG00369 11 31.053 1 FIN EUR 1 FIN EUR
HG00330 HG00357 10 25.226 2 FIN EUR 2 FIN EUR
HG00331 HG00369 9 24.922 2 FIN EUR 1 FIN EUR
HG00332 HG00327 7 17.181 2 FIN EUR 2 FIN EUR
HG00334 HG00282 11 29.745 2 FIN EUR 2 FIN EUR
HG00335 HG00309 12 34.685 1 FIN EUR 2 FIN EUR
HG00336 HG00334 8 23.988 1 FIN EUR 2 FIN EUR
HG00337 HG00272 9 27.697 2 FIN EUR 2 FIN EUR
HG00338 HG00313 9 29.274 1 FIN EUR 2 FIN EUR
HG00339 HG00290 12 36.082 2 FIN EUR 1 FIN EUR
HG00341 NA21142 7 18.921 1 FIN EUR 2 GIH SAS
HG00342 HG00321 15 46.418 1 FIN EUR 1 FIN EUR
HG00343 HG00319 13 35.913 2 FIN EUR 2 FIN EUR
HG00344 HG00335 12 32.811 2 FIN EUR 1 FIN EUR
HG00345 HG00361 9 21.54 1 FIN EUR 2 FIN EUR
HG00346 HG00376 14 35.493 2 FIN EUR 2 FIN EUR
HG00349 HG00323 14 36.329 2 FIN EUR 2 FIN EUR
HG00350 HG00321 7 20.731 2 FIN EUR 1 FIN EUR
HG00351 HG00183 13 34.428 1 FIN EUR 1 FIN EUR
HG00353 HG00383 14 37.134 2 FIN EUR 2 FIN EUR
HG00355 HG00285 9 25.045 2 FIN EUR 2 FIN EUR
HG00356 HG00285 11 29.103 2 FIN EUR 2 FIN EUR
HG00357 HG00365 13 34.083 2 FIN EUR 2 FIN EUR
HG00358 HG00375 20 55.741 1 FIN EUR 1 FIN EUR
HG00360 HG00171 7 18.144 1 FIN EUR 2 FIN EUR
HG00361 HG00313 13 34.977 2 FIN EUR 2 FIN EUR
HG00362 HG00329 9 23.33 2 FIN EUR 1 FIN EUR
HG00364 HG00309 10 27.812 2 FIN EUR 2 FIN EUR
HG00365 HG00383 16 42.118 2 FIN EUR 2 FIN EUR
HG00366 HG00182 10 26.281 1 FIN EUR 1 FIN EUR
HG00367 HG00323 10 30.325 2 FIN EUR 2 FIN EUR
HG00368 HG00358 16 49.601 2 FIN EUR 1 FIN EUR
HG00369 HG00325 17 43.259 1 FIN EUR 1 FIN EUR
HG00371 HG00334 10 27.073 1 FIN EUR 2 FIN EUR
HG00372 HG00368 11 29.861 1 FIN EUR 2 FIN EUR
HG00373 HG00358 15 39.215 2 FIN EUR 1 FIN EUR
HG00375 HG00358 20 55.741 1 FIN EUR 1 FIN EUR
HG00376 HG00346 14 35.493 2 FIN EUR 2 FIN EUR
HG00378 HG00176 13 33.717 2 FIN EUR 2 FIN EUR
HG00379 HG00358 11 31.792 2 FIN EUR 1 FIN EUR
HG00380 HG00339 8 24.49 2 FIN EUR 2 FIN EUR
HG00381 HG00368 13 34.161 2 FIN EUR 2 FIN EUR
HG00382 HG00365 16 41.659 1 FIN EUR 2 FIN EUR
HG00383 HG00365 16 42.118 2 FIN EUR 2 FIN EUR
HG00384 HG00319 10 25.774 2 FIN EUR 2 FIN EUR
HG00403 HG00427 16 55.698 1 CHS EAS 1 CHS EAS
HG00404 HG00437 7 22.168 2 CHS EAS 2 CHS EAS
HG00406 HG00418 13 39.328 1 CHS EAS 1 CHS EAS
HG00407 HG00442 7 22.507 2 CHS EAS 1 CHS EAS
HG00409 NA19055 5 13.752 1 CHS EAS 1 JPT EAS
HG00410 HG02026 5 14.651 2 CHS EAS 1 KHV EAS
HG00418 HG00427 253 885.836 1 CHS EAS 1 CHS EAS
HG00419 NA12842 7 19.448 2 CHS EAS 1 CEU EUR
HG00421 HG00536 6 19.259 1 CHS EAS 1 CHS EAS
HG00422 HG02351 7 17.947 2 CHS EAS 1 CDX EAS
HG00427 HG00418 253 885.836 1 CHS EAS 1 CHS EAS
HG00428 NA18577 7 18.519 2 CHS EAS 2 CHB EAS
HG00436 HG00418 12 39.203 1 CHS EAS 1 CHS EAS
HG00437 HG00404 7 22.168 2 CHS EAS 2 CHS EAS
HG00442 HG00446 13 38.069 1 CHS EAS 2 CHS EAS
HG00443 HG00418 7 22.036 2 CHS EAS 1 CHS EAS
HG00445 NA12272 4 9.884 1 CHS EAS 1 CEU EUR
HG00446 HG00452 17 50.293 2 CHS EAS 2 CHS EAS
HG00448 HG00427 7 22.091 1 CHS EAS 1 CHS EAS
HG00449 HG01865 9 26.121 2 CHS EAS 1 KHV EAS
HG00451 HG00449 8 23.367 1 CHS EAS 2 CHS EAS
HG00452 HG00446 17 50.293 2 CHS EAS 2 CHS EAS
HG00457 HG00476 28 91.409 1 CHS EAS 2 CHS EAS
HG00458 HG00512 9 26.185 2 CHS EAS 1 CHS EAS
HG00463 HG00478 29 101.641 1 CHS EAS 1 CHS EAS
HG00464 NA19741 4 12.419 2 CHS EAS 1 MXL AMR
HG00472 NA19731 4 11.774 1 CHS EAS 2 MXL AMR
HG00473 HG00543 9 25.627 2 CHS EAS 2 CHS EAS
HG00475 HG00542 176 612.263 1 CHS EAS 1 CHS EAS
HG00476 HG00457 28 91.409 2 CHS EAS 1 CHS EAS
HG00478 HG00463 29 101.641 1 CHS EAS 1 CHS EAS
HG00479 HG01866 7 17.73 2 CHS EAS 1 KHV EAS
HG00500 HG00475 49 188.017 1 CHS EAS 1 CHS EAS
HG00501 HG00524 464 1675.3 2 CHS EAS 1 CHS EAS
HG00512 HG00524 498 1952.71 1 CHS EAS 1 CHS EAS
HG00513 HG00451 5 16.562 2 CHS EAS 1 CHS EAS
HG00524 HG00512 498 1952.71 1 CHS EAS 1 CHS EAS
HG00525 NA20906 7 22.148 2 CHS EAS 2 GIH SAS
HG00530 HG00463 6 20.357 1 CHS EAS 1 CHS EAS
HG00531 HG02271 7 20.51 2 CHS EAS 1 PEL AMR
HG00533 HG00501 7 20.628 1 CHS EAS 2 CHS EAS
HG00534 HG00457 7 18.391 2 CHS EAS 1 CHS EAS
HG00536 HG00500 20 67.493 1 CHS EAS 1 CHS EAS
HG00537 NA19057 6 17.984 2 CHS EAS 2 JPT EAS
HG00542 HG00475 176 612.263 1 CHS EAS 1 CHS EAS
HG00543 HG00473 9 25.627 2 CHS EAS 2 CHS EAS
HG00551 HG01082 16 56.623 2 PUR AMR 1 PUR AMR
HG00553 HG01067 18 57.903 1 PUR AMR 2 PUR AMR
HG00554 HG01176 16 54.169 2 PUR AMR 1 PUR AMR
HG00556 HG01046 6 17.319 1 CHS EAS 2 CDX EAS
HG00557 HG00623 9 22.741 2 CHS EAS 2 CHS EAS
HG00559 HG00879 6 17.514 1 CHS EAS 2 CDX EAS
HG00560 HG00565 6 19.301 2 CHS EAS 1 CHS EAS
HG00565 HG00560 6 19.301 1 CHS EAS 2 CHS EAS
HG00566 HG02122 5 15.445 2 CHS EAS 1 KHV EAS
HG00577 HG00584 450 1685.21 1 CHS EAS 2 CHS EAS
HG00578 HG00581 492 1869.87 2 CHS EAS 2 CHS EAS
HG00580 HG00437 6 16.495 1 CHS EAS 2 CHS EAS
HG00581 HG00578 492 1869.87 2 CHS EAS 2 CHS EAS
HG00583 NA18531 6 17.686 1 CHS EAS 2 CHB EAS
HG00584 HG00577 450 1685.21 2 CHS EAS 1 CHS EAS
HG00589 HG03643 6 17.861 1 CHS EAS 2 STU SAS
HG00590 HG01801 6 16.859 2 CHS EAS 2 CDX EAS
HG00592 HG01865 8 23.601 1 CHS EAS 1 KHV EAS
HG00593 HG04159 7 19.701 2 CHS EAS 2 BEB SAS
HG00595 HG00584 113 429.258 1 CHS EAS 2 CHS EAS
HG00596 HG00619 5 16.785 2 CHS EAS 1 CHS EAS
HG00598 NA11893 8 21.609 1 CHS EAS 1 CEU EUR
HG00599 HG00557 7 17.728 2 CHS EAS 2 CHS EAS
HG00607 HG00578 154 552.142 1 CHS EAS 2 CHS EAS
HG00608 HG03977 6 17.275 2 CHS EAS 2 ITU SAS
HG00610 HG01801 4 12.614 1 CHS EAS 2 CDX EAS
HG00611 HG02122 4 12.491 2 CHS EAS 1 KHV EAS
HG00613 HG00619 9 26.303 1 CHS EAS 1 CHS EAS
HG00614 HG00577 6 16.329 2 CHS EAS 1 CHS EAS
HG00619 HG00613 9 26.303 1 CHS EAS 1 CHS EAS
HG00620 HG00595 9 23.497 2 CHS EAS 1 CHS EAS
HG00622 HG01801 5 13.898 1 CHS EAS 2 CDX EAS
HG00623 HG01531 8 23.359 2 CHS EAS 2 IBS EUR
HG00625 HG01924 6 16.575 1 CHS EAS 2 PEL AMR
HG00626 HG02356 5 13.718 2 CHS EAS 1 CDX EAS
HG00628 HG02019 4 12.232 1 CHS EAS 2 KHV EAS
HG00629 HG00674 5 13.583 2 CHS EAS 1 CHS EAS
HG00631 NA19089 5 14.747 1 CHS EAS 1 JPT EAS
HG00632 HG03867 6 17.174 2 CHS EAS 1 ITU SAS
HG00634 HG02394 4 13.098 1 CHS EAS 1 CDX EAS
HG00635 HG00578 477 1795.61 2 CHS EAS 2 CHS EAS
HG00637 HG01067 14 42.62 1 PUR AMR 2 PUR AMR
HG00638 HG01170 14 38.317 2 PUR AMR 1 PUR AMR
HG00640 HG00553 16 53.458 1 PUR AMR 1 PUR AMR
HG00641 HG01069 26 92.691 2 PUR AMR 1 PUR AMR
HG00650 HG00683 10 34.575 1 CHS EAS 1 CHS EAS
HG00651 HG00662 19 60.767 2 CHS EAS 1 CHS EAS
HG00653 HG00671 5 19.227 1 CHS EAS 1 CHS EAS
HG00654 HG00671 4 10.343 2 CHS EAS 1 CHS EAS
