#ID nb_sup2 sum_sup2 mean_sup2 nb_sup8 sum_sup8 mean_sup8 nb_sup20 sum_sup20 mean_sup20 Sex State Region
LD2080 1 2.476 2.476 0 0 0 0 0 0 Female Bihar East
LD0054 3 9.806 3.26867 0 0 0 0 0 0 Female Punjab North
LD1706 3 9.217 3.07233 0 0 0 0 0 0 Female Uttar_Pradesh Central
LD2491 3 14.618 4.87267 0 0 0 0 0 0 Female Telangana South
LD0180 4 14.062 3.5155 0 0 0 0 0 0 Female Punjab North
LD0652 2 6.221 3.1105 0 0 0 0 0 0 Female Missing Other
LD0896 0 0 0 0 0 0 0 0 0 Male Telangana South
LD1324 5 13.241 2.6482 0 0 0 0 0 0 Male Assam North-East
LD1406 10 31.867 3.1867 0 0 0 0 0 0 Male Uttar_Pradesh Central
LD1954 6 24.866 4.14433 1 9.973 9.973 0 0 0 Male Telangana South
LD0555 11 30.374 2.76127 0 0 0 0 0 0 Female Punjab North
LD1666 0 0 0 0 0 0 0 0 0 Female Telangana South
LD1052 6 17.806 2.96767 0 0 0 0 0 0 Female Uttar_Pradesh Central
LD0451 7 29.689 4.24129 0 0 0 0 0 0 Male West_Bengal East
LD0932 0 0 0 0 0 0 0 0 0 Female Uttarakhand Central
LD1660 2 10.046 5.023 0 0 0 0 0 0 Female Bihar East
LD1538 5 13.406 2.6812 0 0 0 0 0 0 Female Maharashtra West
LD0225 1 2.937 2.937 0 0 0 0 0 0 Female Maharashtra West
LD1376 2 5.692 2.846 0 0 0 0 0 0 Female Punjab North
LD0407 1 3.441 3.441 0 0 0 0 0 0 Female Madhya_Pradesh Central
LD2628 0 0 0 0 0 0 0 0 0 Female Gujarat West
LD2580 3 8.721 2.907 0 0 0 0 0 0 Male Gujarat West
LD2075 11 38.111 3.46464 0 0 0 0 0 0 Male Bihar East
LD1662 4 16.645 4.16125 1 9.46 9.46 0 0 0 Male Telangana South
LD1790 1 3.05 3.05 0 0 0 0 0 0 Female West_Bengal East
LD1912 2 6.429 3.2145 0 0 0 0 0 0 Female Maharashtra West
LD1190 3 9.511 3.17033 0 0 0 0 0 0 Female Odisha East
LD1117 2 6.09 3.045 0 0 0 0 0 0 Male Uttar_Pradesh Central
LD1198 5 15.039 3.0078 0 0 0 0 0 0 Male Assam North-East
LD1227 1 3.166 3.166 0 0 0 0 0 0 Female Telangana South
LD0681 2 6.527 3.2635 0 0 0 0 0 0 Male Telangana South
LD1725 1 3.161 3.161 0 0 0 0 0 0 Male Odisha East
LD0968 1 2.475 2.475 0 0 0 0 0 0 Female Odisha East
LD1399 1 2.484 2.484 0 0 0 0 0 0 Male Bihar East
LD2431 10 40.645 4.0645 1 8.28 8.28 0 0 0 Male Odisha East
LD2023 0 0 0 0 0 0 0 0 0 Male Missing Other
LD1210 7 20.852 2.97886 0 0 0 0 0 0 Female Gujarat West
LD2548 0 0 0 0 0 0 0 0 0 Female Uttar_Pradesh Central
LD2190 2 9.301 4.6505 0 0 0 0 0 0 Male Maharashtra West
LD2160 0 0 0 0 0 0 0 0 0 Male Madhya_Pradesh Central
LD1636 1 4.23 4.23 0 0 0 0 0 0 Male Telangana South
LD2288 3 9.988 3.32933 0 0 0 0 0 0 Male Telangana South
LD0597 7 23.846 3.40657 0 0 0 0 0 0 Male Bihar East
LD2660 2 4.675 2.3375 0 0 0 0 0 0 Male Bihar East
LD0776 7 24.271 3.46729 0 0 0 0 0 0 Female West_Bengal East
LD0939 4 11.436 2.859 0 0 0 0 0 0 Male Maharashtra West
LD2287 0 0 0 0 0 0 0 0 0 Female Maharashtra West
LD0835 3 7.895 2.63167 0 0 0 0 0 0 Male Uttar_Pradesh Central
LD1693 7 26.754 3.822 0 0 0 0 0 0 Male West_Bengal East
LD2136 20 103.87 5.1935 5 49.524 9.9048 0 0 0 Female Karnataka South
LD0326 12 38.856 3.238 1 9.128 9.128 0 0 0 Male Maharashtra West
LD2410 3 8.549 2.84967 0 0 0 0 0 0 Male Gujarat West
LD1490 0 0 0 0 0 0 0 0 0 Male Jammu_&_Kashmir North
LD2416 9 47.869 5.31878 1 8.476 8.476 0 0 0 Female Uttar_Pradesh Central
LD2533 14 88.667 6.33336 4 49.277 12.3193 0 0 0 Female Maharashtra West
